PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
10427,GEN2,1.7120797585380185e-16,1016,Natural Gas Fired Combustion Turbine,2.19389108,16.5,0,0,24.5645161,-14.3219355,34.045361,-117.540193
10427,GEN3,1.7120797585380185e-16,1016,Natural Gas Fired Combustion Turbine,2.19389108,16.5,0,0,24.5645161,-14.3219355,34.045361,-117.540193
10437,SUN2,14.745067040096751,1833,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,34.863356,-116.827627
10438,SUN3,14.745067040096751,1833,Solar Photovoltaic,12.5336545,17.84232,0,0,10.2,-7.0,34.863356,-116.827627
10439,GEN1,15.110178658687019,1827,Solar Thermal without Energy Storage,31.0616654,44.2179235,0,0,16.6,-11.4,35.00694,-117.555768
10440,GEN1,15.110178658687019,1826,Solar Thermal without Energy Storage,31.0616654,44.2179235,0,0,16.6,-11.4,35.012166,-117.555672
10441,GEN1,15.12535456854233,1825,Solar Thermal without Energy Storage,31.0616654,44.2179235,0,0,16.6,-11.4,35.01948,-117.55553
10442,GEN1,15.158555688271512,1823,Solar Thermal without Energy Storage,31.7882541,45.2522609,0,0,17.0,-11.7,35.020981,-117.566079
10443,GEN1,15.158555688271512,1824,Solar Thermal without Energy Storage,31.7882541,45.2522609,0,0,17.0,-11.7,35.014836,-117.565903
10444,GEN1,15.062197093647965,7911,Solar Thermal without Energy Storage,83.5576965,118.9488,0,0,57.0,-30.7,35.0308,-117.3563
10446,GEN1,15.062197093647965,7911,Solar Thermal without Energy Storage,83.5576965,118.9488,0,0,57.0,-30.7,35.033,-117.338
10458,GEN1,-2.998859791562366e-17,1572,Conventional Hydroelectric,9.96673987,29.9,0,0,0.0,0.0,40.976389,-121.255833
10472,GEN1,-2.314889036110797e-16,1698,Landfill Gas,0.0,50.0,0,0,24.2,-16.7,34.0233,-118.0241
10479,T101,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6455,-118.9096
10479,T102,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6455,-118.9096
10479,T103,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6455,-118.9096
10480,GEN1,13.5458551386346,1621,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6451,-118.9143
10480,GEN2,13.5458551386346,1621,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6451,-118.9143
10481,1,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6464,-118.9092
10481,2,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6464,-118.9092
10481,3,13.699890526531687,1620,Geothermal,5.00003694,5.0,0,0,13.1222222,-7.60444444,37.6464,-118.9092
10496,GTAG,-9.703070774339569e-16,1665,Natural Gas Fired Combustion Turbine,75.0005462,75.0,0,0,0.0,0.0,35.4515,-118.9849
10496,GTBG,-9.703070774339569e-16,1665,Natural Gas Fired Combustion Turbine,75.0005462,75.0,0,0,0.0,0.0,35.4515,-118.9849
10496,GTCG,-9.703070774339569e-16,1665,Natural Gas Fired Combustion Turbine,75.0005462,75.0,0,0,0.0,0.0,35.4515,-118.9849
10496,GTDG,-9.703070774339569e-16,1665,Natural Gas Fired Combustion Turbine,75.0005462,75.0,0,0,0.0,0.0,35.4515,-118.9849
10501,K100,-5.637482754436708e-16,274,Natural Gas Fired Combustion Turbine,39.1002886,39.1,0,0,0.0,0.0,35.19456,-119.57097
10548,GEN1,-2.5799003008425056e-16,1251,Natural Gas Fired Combustion Turbine,6.00004416,6.0,0,0,24.5645161,-14.3219355,37.336113,-121.878332
10586,EXIS,19.59971014571511,1933,Onshore Wind Turbine,25.8989497,59.6,0,0,23.6,-23.6,35.075,-118.3158
10597,WGN1,19.59971014571511,1933,Onshore Wind Turbine,12.601838,29.0,0,0,11.5,-11.5,35.0697,-118.3167
10601,GEN1,-4.46887927167544e-16,1704,All Other,34.0002488,34.0,0,0,0.0,0.0,33.77697,-118.22821
10623,GEN1,-1.0508999301010426e-16,481,Natural Gas Fired Combined Cycle,22.1001631,22.1,0,0,9.4,-9.4,34.0564,-118.2436
10623,GEN2,-4.781315618050814e-16,481,Natural Gas Fired Combined Cycle,12.4000884,12.4,0,0,14.7,-14.7,34.0564,-118.2436
10631,GEN1,8.161199027792998,1712,Geothermal,45.5003361,45.5,0,0,22.2,-11.9,33.1779,-115.565
10632,GEN1,8.10507103667329,1710,Geothermal,45.5003361,45.5,0,0,22.2,-11.9,33.1646,-115.616
10634,GEN1,8.106365251705084,1711,Geothermal,45.5003361,45.5,0,0,22.2,-11.9,33.1777,-115.6033
10661,GEN4,4.9917103395679294e-17,2338,Wood/Wood Waste Biomass,0.0,12.0,0,0,18.50625,-10.325,40.303422,-121.244431
10677,UNT2,-7.427188462521262e-16,360,Natural Gas Fired Combined Cycle,60.000443,60.0,0,0,37.2,-20.0,34.3801,-118.4999
10677,UNT3,-4.351698602730254e-16,360,Natural Gas Fired Combined Cycle,15.4671517,30.0,0,0,18.6,-10.0,34.3801,-118.4999
10684,TG8,-1.3977012547710155e-16,1019,Conventional Steam Coal,27.500201,27.5,0,0,23.7,-12.7,35.765,-117.3833
10684,TG9,-1.3977012547710155e-16,1019,Conventional Steam Coal,27.500201,27.5,0,0,23.7,-12.7,35.765,-117.3833
10685,PINA,2.475768508392063e-16,1828,Natural Gas Fired Combustion Turbine,2.19389101,20.0,0,0,15.0,-6.7,35.7075,-117.3956
10708,GEN1,9.51319650253685e-16,333,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,40.7576,-121.4145
10709,GEN1,9.515225716229234e-16,1745,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,40.4579,-121.8427
10718,WND,10.386499059527402,1855,Onshore Wind Turbine,5.08418979,11.7,0,0,23.8842105,-22.5631579,33.92194,-116.56222
10748,U1C06,1.2752946618409025e-16,8196,Landfill Gas,0.0,1.6,0,0,23.1666667,-13.7,36.7131,-121.7686
10748,U2J02,1.2752946618409025e-16,8196,Landfill Gas,0.0,1.0,0,0,23.1666667,-13.7,36.7131,-121.7686
10748,U3J17,1.2752946618409025e-16,8196,Landfill Gas,0.0,1.0,0,0,23.1666667,-13.7,36.7131,-121.7686
10748,U4J16,1.2752946618409025e-16,8196,Landfill Gas,0.0,1.4,0,0,23.1666667,-13.7,36.7131,-121.7686
10759,GEN1,8.123465768138399,1708,Geothermal,53.9003982,53.9,0,0,26.1,-18.0,33.158153,-115.638656
10763,GBU,7.7697600208768485,1717,Geothermal,8.0000591,8.0,0,0,13.1222222,-7.60444444,32.7757,-115.2637
10763,GEN1,7.7697600208768485,1717,Geothermal,21.6001596,21.6,0,0,10.5,-7.2,32.7757,-115.2637
10764,GEN1,3.514646227640999e-16,159,Wood/Wood Waste Biomass,0.0,13.8,0,0,18.50625,-10.325,40.8786,-123.9942
10767,GEN1,1.824194615558834e-16,1651,Wood/Wood Waste Biomass,0.0,28.0,0,0,17.4,-9.3,36.688915,-119.723218
10776,GTG,-7.99864924893926e-16,1893,Natural Gas Fired Combustion Turbine,48.5003544,48.5,0,0,30.1,-16.2,34.1958,-119.1664
10777,GEN1,2.853017841752837e-17,1567,Wood/Wood Waste Biomass,0.0,36.2,0,0,17.5,-12.1,40.368338,-120.264848
10836,GEN1,1.819081791379442e-16,1885,Wood/Wood Waste Biomass,0.0,28.0,0,0,17.4,-9.3,38.6905,-121.7371
10837,GEN1,1.550672070416451e-16,138,Wood/Wood Waste Biomass,0.0,28.0,0,0,17.4,-9.3,36.755896,-120.365422
10840,GEN1,6.478819670464053e-17,304,Wood/Wood Waste Biomass,0.0,31.8,0,0,19.7,-10.6,35.7144,-119.2337
10840,GEN2,2.5353794695529904e-16,304,Wood/Wood Waste Biomass,0.0,25.2,0,0,15.6,-8.4,35.7144,-119.2337
10873,GEN1,14.875766063756275,1656,Geothermal,32.2002379,32.2,0,0,15.6,-10.7,36.0372,-117.7981
10873,GEN2,14.875766063756275,1656,Geothermal,30.0002216,30.0,0,0,14.5,-10.0,36.0372,-117.7981
10873,GEN3,14.875766063756275,1656,Geothermal,30.0002216,30.0,0,0,14.5,-10.0,36.0372,-117.7981
10874,GEN4,14.87816836926855,1659,Geothermal,30.0002216,30.0,0,0,13.1222222,-7.60444444,36.0192,-117.7917
10874,GEN5,14.87816836926855,1659,Geothermal,30.0002216,30.0,0,0,13.1222222,-7.60444444,36.0192,-117.7917
10874,GEN6,14.87816836926855,1659,Geothermal,30.0002216,30.0,0,0,13.1222222,-7.60444444,36.0192,-117.7917
10875,GEN7,14.876133703989254,1657,Geothermal,30.0002216,30.0,0,0,14.5,-10.0,36.0019,-117.7886
10875,GEN8,14.876133703989254,1657,Geothermal,30.0002216,30.0,0,0,14.5,-10.0,36.0019,-117.7886
10875,GEN9,14.876133703989254,1657,Geothermal,30.0002216,30.0,0,0,14.5,-10.0,36.0019,-117.7886
