county,carb_intensity
Alameda County,0.501450401
Alpine County,0.084150451
Amador County,0.084150451
Butte County,0.743186902
Calaveras County,0.08419013
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.758738747
El Dorado County,0.709963274
Esmeralda County,0.1579203
Fresno County,0.55994606
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.199698478
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.814581675
Kings County,0.685277772
Klamath County,0
La Paz County,1.046829727
Lake County,0.249505451
Lassen County,0.372730534
Los Angeles County,0.93193533
Madera County,0.296827399
Maricopa County,0
Marin County,0.603213195
Mariposa County,0.662426173
Mendocino County,0.192509408
Merced County,0.411057326
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.773662473
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.894392093
Nevada County,0.406715426
Orange County,0.986667938
Placer County,0.629799246
Plumas County,0.416486371
Riverside County,0.956906996
Sacramento County,1.111182454
San Benito County,1.108561451
San Bernardino County,0.991966193
San Diego County,0.833413294
San Francisco County,0.333169262
San Joaquin County,0.522325109
San Luis Obispo County,0.068349935
San Mateo County,0.428523215
Santa Barbara County,0.579993256
Santa Clara County,0.850838356
Santa Cruz County,0.27367013
Shasta County,1.159709492
Sierra County,0.486066554
Siskiyou County,1.2310353
Solano County,0.669944833
Sonoma County,0.328277927
Stanislaus County,1.046716515
Sutter County,0.685115912
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.978061828
Tuolumne County,0.840988816
Ventura County,1.079194164
Yolo County,0.674994595
Yuba County,0.583494115
Yuma County,0.384685367
