county,carb_intensity
Alameda County,0.401457522
Alpine County,0.060907402
Amador County,0.060907402
Butte County,0.747587796
Calaveras County,0.060949454
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.626462344
El Dorado County,0.732758411
Esmeralda County,0.1579203
Fresno County,0.399642653
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.168857296
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.521004652
Kings County,0.023613879
Klamath County,0
La Paz County,0.40165966
Lake County,0.245983557
Lassen County,0.35830165
Los Angeles County,0.83357955
Madera County,0.259768328
Maricopa County,0
Marin County,0.306129972
Mariposa County,0.555408305
Mendocino County,0.192509408
Merced County,0.343017918
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.684597076
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.441810398
Napa County,0.84320745
Nevada County,0.420876203
Orange County,0.952852125
Placer County,0.65164042
Plumas County,0.410810441
Riverside County,0.952849745
Sacramento County,1.11909867
San Benito County,1.066931023
San Bernardino County,0.99332081
San Diego County,0.748235851
San Francisco County,0.217822826
San Joaquin County,0.47038591
San Luis Obispo County,0.003481124
San Mateo County,0.181538885
Santa Barbara County,0.531272785
Santa Clara County,0.750171465
Santa Cruz County,0.164538938
Shasta County,1.15921248
Sierra County,0.500124832
Siskiyou County,1.2310353
Solano County,0.676928621
Sonoma County,0.228110376
Stanislaus County,1.019395897
Sutter County,0.674100384
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.487615542
Tuolumne County,0.732815026
Ventura County,1.004635382
Yolo County,0.663924991
Yuba County,0.608800274
Yuma County,0.1579203
