county,carb_intensity
Alameda County,0.390084456
Alpine County,0.053591503
Amador County,0.053591503
Butte County,0.751711238
Calaveras County,0.053638701
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.615512582
El Dorado County,0.736216841
Esmeralda County,0.1579203
Fresno County,0.393647158
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.168876778
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.498927654
Kings County,0.022174731
Klamath County,0
La Paz County,0.1579203
Lake County,0.24570611
Lassen County,0.357259016
Los Angeles County,0.810913116
Madera County,0.249291401
Maricopa County,0
Marin County,0.290572395
Mariposa County,0.542497879
Mendocino County,0.192509408
Merced County,0.337772216
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.680083087
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.442550324
Napa County,0.842365719
Nevada County,0.425133964
Orange County,0.929097865
Placer County,0.658740617
Plumas County,0.410973234
Riverside County,0.948108687
Sacramento County,1.119925474
San Benito County,1.065753471
San Bernardino County,0.9812256
San Diego County,0.740111025
San Francisco County,0.202862896
San Joaquin County,0.457845413
San Luis Obispo County,0.003223009
San Mateo County,0.170032303
Santa Barbara County,0.523514326
Santa Clara County,0.750215449
Santa Cruz County,0.158243278
Shasta County,1.159226735
Sierra County,0.502693277
Siskiyou County,1.2310353
Solano County,0.682265924
Sonoma County,0.217034658
Stanislaus County,1.015916298
Sutter County,0.67304501
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.438087617
Tuolumne County,0.707365614
Ventura County,0.987543875
Yolo County,0.661167402
Yuba County,0.612988102
Yuma County,0.1579203
