county,carb_intensity
Alameda County,0.716679073
Alpine County,0.172098258
Amador County,0.172098258
Butte County,0.707685221
Calaveras County,0.171271992
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.993316591
El Dorado County,0.714893313
Esmeralda County,0.1579203
Fresno County,0.631996715
Glenn County,1.2310353
Humboldt County,1.15857375
Imperial County,0.224619639
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,1.030721167
Kings County,0.747963055
Klamath County,0
La Paz County,1.2310353
Lake County,0.264007433
Lassen County,0.477869686
Los Angeles County,0.986496916
Madera County,0.326341516
Maricopa County,0
Marin County,0.888103904
Mariposa County,0.727416659
Mendocino County,0.200963425
Merced County,0.407121995
Modoc County,0.985585122
Mono County,0.1579203
Monterey County,0.8799618
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.892887885
Nevada County,0.504980908
Orange County,0.991750796
Placer County,0.865490853
Plumas County,0.521484597
Riverside County,1.039639112
Sacramento County,1.109696969
San Benito County,1.141891629
San Bernardino County,1.018047188
San Diego County,0.921628927
San Francisco County,0.53911967
San Joaquin County,0.52426565
San Luis Obispo County,0.072105772
San Mateo County,0.656274089
Santa Barbara County,0.609582143
Santa Clara County,0.995474839
Santa Cruz County,0.462334774
Shasta County,1.16890364
Sierra County,0.50518702
Siskiyou County,1.2310353
Solano County,0.697375758
Sonoma County,0.567119404
Stanislaus County,0.932147806
Sutter County,0.79710299
Tehama County,1.2310353
Trinity County,1.165761341
Tulare County,0.955028779
Tuolumne County,0.656968974
Ventura County,1.112678073
Yolo County,0.80401934
Yuba County,0.576999492
Yuma County,0.599156813
