county,carb_intensity
Alameda County,0.513543667
Alpine County,0.124741377
Amador County,0.124741377
Butte County,0.69339534
Calaveras County,0.124468353
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.793345591
El Dorado County,0.680037517
Esmeralda County,0.1579203
Fresno County,0.595489961
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.206023214
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.885058242
Kings County,0.796618317
Klamath County,0
La Paz County,1.164606461
Lake County,0.251824785
Lassen County,0.382581413
Los Angeles County,0.944366425
Madera County,0.30279794
Maricopa County,0
Marin County,0.67993888
Mariposa County,0.617370904
Mendocino County,0.192509408
Merced County,0.432582055
Modoc County,1.113668841
Mono County,0.1579203
Monterey County,0.795513275
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.872148581
Nevada County,0.393950988
Orange County,0.994580965
Placer County,0.61706941
Plumas County,0.423286177
Riverside County,0.976364868
Sacramento County,1.06710973
San Benito County,1.115812309
San Bernardino County,1.010147717
San Diego County,0.858716849
San Francisco County,0.373212866
San Joaquin County,0.530458749
San Luis Obispo County,0.07003734
San Mateo County,0.491146256
Santa Barbara County,0.589506829
Santa Clara County,0.885116686
Santa Cruz County,0.311637299
Shasta County,1.160304916
Sierra County,0.453173941
Siskiyou County,1.2310353
Solano County,0.668272768
Sonoma County,0.376942605
Stanislaus County,1.008985262
Sutter County,0.670197498
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.944869716
Tuolumne County,0.77585974
Ventura County,1.090819152
Yolo County,0.676974059
Yuba County,0.528654062
Yuma County,0.452608719
