county,l_ren
 County,0.0
Alameda County,1041.5753326232764
Alpine County,17.2033581
Amador County,30.099502444
Butte County,128.74148286428235
Calaveras County,9.022176519999999
Clark County,0.0
Colusa County,25.17264366190293
Contra Costa County,745.4638343624521
El Dorado County,44.1687794808533
Esmeralda County,3.94942021
Fresno County,335.2327184871893
Glenn County,33.212470690608825
Humboldt County,54.91565703478258
Imperial County,-249.4644803431669
Inyo County,70.36112263882373
Josephine County,0.0
Kern County,89.23775621022233
Kings County,112.68700198173016
Klamath County,0.0
La Paz County,-3.597202431496657
Lake County,33.782170790083
Lassen County,40.473962797118396
Los Angeles County,5086.5929295797605
Madera County,72.48382587
Maricopa County,0.0
Marin County,170.36313122304966
Mariposa County,8.23259336
Mendocino County,36.961402208314645
Merced County,106.45961314293562
Modoc County,15.052216533
Mono County,-4.333024390719359
Monterey County,148.73571182695824
Municipio de Mexicali County,3.8633252269653013
Municipio de Tijuana County,17.3857918
Napa County,69.71495664657277
Nevada County,21.802856235
Orange County,1538.384082390449
Placer County,214.105846743
Plumas County,23.079418433
Riverside County,677.2979122520189
Sacramento County,528.7994366455123
San Benito County,-22.19543670079875
San Bernardino County,805.4855198246521
San Diego County,1608.9617689190243
San Francisco County,391.48402574
San Joaquin County,538.9241003688113
San Luis Obispo County,-140.7642368931909
San Mateo County,497.916316817
Santa Barbara County,2.6803913367799534
Santa Clara County,1277.1413742284099
Santa Cruz County,153.82327503
Shasta County,57.29764392388596
Sierra County,9.10866411
Siskiyou County,50.15801236
Solano County,269.9523738449755
Sonoma County,205.43553932205643
Stanislaus County,342.831910470382
Sutter County,69.46168962
Tehama County,36.37594647199729
Trinity County,12.077983851826422
Tulare County,239.71646803886088
Tuolumne County,38.543615539
Ventura County,502.8165845474658
Yolo County,137.27798747132488
Yuba County,52.59791978
Yuma County,2.96967147
