county,carb_intensity
Alameda County,0.538642515
Alpine County,0.171801461
Amador County,0.171801461
Butte County,0.643820307
Calaveras County,0.170675881
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.832927086
El Dorado County,0.673877733
Esmeralda County,0.1579203
Fresno County,0.6095609
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.211103282
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.934023082
Kings County,0.75081915
Klamath County,0
La Paz County,1.2310353
Lake County,0.255126173
Lassen County,0.39113091
Los Angeles County,0.961773364
Madera County,0.348190071
Maricopa County,0
Marin County,0.754295091
Mariposa County,0.653123495
Mendocino County,0.192509407
Merced County,0.424471753
Modoc County,0.914235605
Mono County,0.1579203
Monterey County,0.801439715
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.847345551
Nevada County,0.393463467
Orange County,0.957211609
Placer County,0.650313261
Plumas County,0.428069665
Riverside County,0.997703487
Sacramento County,1.062763362
San Benito County,1.118973077
San Bernardino County,1.010904279
San Diego County,0.881172728
San Francisco County,0.425127603
San Joaquin County,0.525147829
San Luis Obispo County,0.07218192
San Mateo County,0.550217027
Santa Barbara County,0.581263937
Santa Clara County,0.905860498
Santa Cruz County,0.329434513
Shasta County,1.160723781
Sierra County,0.433496535
Siskiyou County,1.2310353
Solano County,0.696493874
Sonoma County,0.441446105
Stanislaus County,0.941797553
Sutter County,0.660022304
Tehama County,1.2310353
Trinity County,1.165078071
Tulare County,0.869958654
Tuolumne County,0.673143969
Ventura County,1.115643316
Yolo County,0.733515996
Yuba County,0.489266271
Yuma County,0.528886758
