county,l_ren
 County,0.0
Alameda County,1529.7800734195632
Alpine County,24.6542794
Amador County,43.135854
Butte County,184.67015963
Calaveras County,12.9297583
Clark County,0.0
Colusa County,38.08401365
Contra Costa County,1103.7958358476997
El Dorado County,83.46436908280944
Esmeralda County,5.028082506798931
Fresno County,682.1821725362493
Glenn County,46.81545525434991
Humboldt County,84.19606373876054
Imperial County,95.68698243653532
Inyo County,110.01646436142607
Josephine County,0.0
Kern County,831.469593765159
Kings County,153.78670352
Klamath County,0.0
La Paz County,0.0
Lake County,61.48571693039232
Lassen County,59.75618688437412
Los Angeles County,7689.697336551635
Madera County,103.87718957999999
Maricopa County,0.0
Marin County,245.14834025
Mariposa County,11.79819987
Mendocino County,73.55879686184174
Merced County,184.60268631914062
Modoc County,21.5714601
Mono County,6.125551563040213
Monterey County,280.7171498584025
Municipio de Mexicali County,7.32729562
Municipio de Tijuana County,20.46751106056736
Napa County,137.35641008
Nevada County,31.24585952
Orange County,2221.8031387469227
Placer County,306.836917689
Plumas County,33.07531169
Riverside County,1165.4144499394188
Sacramento County,902.444989514648
San Benito County,5.64516682970063
San Bernardino County,1462.5654323504314
San Diego County,2488.0354563326205
San Francisco County,561.03910004
San Joaquin County,868.4353336488258
San Luis Obispo County,114.77453860673236
San Mateo County,713.568125098
Santa Barbara County,246.71749890742842
Santa Clara County,1917.6317806429875
Santa Cruz County,220.4454489
Shasta County,97.2419635494202
Sierra County,13.05370435
Siskiyou County,71.88187587
Solano County,393.97702424463006
Sonoma County,366.2757454714399
Stanislaus County,525.8528417872069
Sutter County,97.69758495947914
Tehama County,54.39511052473935
Trinity County,21.143183797534174
Tulare County,354.0107791881197
Tuolumne County,55.237184353
Ventura County,736.5157601728476
Yolo County,197.86425253000002
Yuba County,75.37852801
Yuma County,4.2558615
