county,carb_intensity
Alameda County,0.534812224
Alpine County,0.172051825
Amador County,0.172051825
Butte County,0.641591901
Calaveras County,0.170920993
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.827720192
El Dorado County,0.672462955
Esmeralda County,0.1579203
Fresno County,0.609641881
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.210390045
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.931884855
Kings County,0.752172369
Klamath County,0
La Paz County,1.2310353
Lake County,0.25494083
Lassen County,0.388541493
Los Angeles County,0.965782016
Madera County,0.350259151
Maricopa County,0
Marin County,0.748473293
Mariposa County,0.653785781
Mendocino County,0.192509408
Merced County,0.425769429
Modoc County,0.909128329
Mono County,0.1579203
Monterey County,0.794764798
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.846612333
Nevada County,0.390837878
Orange County,0.958694146
Placer County,0.644019249
Plumas County,0.425274781
Riverside County,0.996743423
Sacramento County,1.060798552
San Benito County,1.117371384
San Bernardino County,1.010562797
San Diego County,0.880012855
San Francisco County,0.422332586
San Joaquin County,0.525328175
San Luis Obispo County,0.072185905
San Mateo County,0.545639559
Santa Barbara County,0.585999099
Santa Clara County,0.902664031
Santa Cruz County,0.325298181
Shasta County,1.160479047
Sierra County,0.431388927
Siskiyou County,1.2310353
Solano County,0.691122171
Sonoma County,0.437922207
Stanislaus County,0.943116366
Sutter County,0.658638214
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.86672399
Tuolumne County,0.673094877
Ventura County,1.11617535
Yolo County,0.727261908
Yuba County,0.487151851
Yuma County,0.523810123
