county,l_ren
 County,0.0
Alameda County,1342.5426282326323
Alpine County,21.8056053
Amador County,38.03141388587336
Butte County,163.33248017
Calaveras County,11.435791739999999
Clark County,0.0
Colusa County,33.68360339
Contra Costa County,995.929515009434
El Dorado County,66.06051017510555
Esmeralda County,5.00597017
Fresno County,568.4036236038689
Glenn County,43.95935826005069
Humboldt County,75.01537607681688
Imperial County,80.31138574485233
Inyo County,103.5947616514346
Josephine County,0.0
Kern County,792.6737047588784
Kings County,131.3280631944854
Klamath County,0.0
La Paz County,0.0
Lake County,53.876311287905686
Lassen County,52.633884357557015
Los Angeles County,6631.365112170288
Madera County,85.91182565764623
Maricopa County,0.0
Marin County,216.82272035
Mariposa County,10.43497905
Mendocino County,65.7325189472591
Merced County,143.22875597774689
Modoc County,19.078989657
Mono County,4.551065354657461
Monterey County,254.01853481263728
Municipio de Mexicali County,6.48066457
Municipio de Tijuana County,21.283436738482617
Napa County,115.86780573928384
Nevada County,27.63556255
Orange County,1962.9022494187016
Placer County,271.38350231600003
Plumas County,29.253630857
Riverside County,1031.5062195439293
Sacramento County,797.5789901241243
San Benito County,4.58188866
San Bernardino County,1283.5170440931781
San Diego County,2180.282109203991
San Francisco County,496.21394178
San Joaquin County,772.626380704077
San Luis Obispo County,160.9180161950979
San Mateo County,631.11902661
Santa Barbara County,353.732919700584
Santa Clara County,1691.4461442069041
Santa Cruz County,194.97411987
Shasta County,86.26289445364219
Sierra County,11.5454165
Siskiyou County,62.25282469460698
Solano County,363.3937731821364
Sonoma County,313.4057265543874
Stanislaus County,469.14211248584326
Sutter County,88.04409986
Tehama County,48.28393679553742
Trinity County,18.990422503194203
Tulare County,311.9670349724553
Tuolumne County,48.854814057
Ventura County,651.8569666788721
Yolo County,175.00206428799999
Yuba County,66.66892986
Yuma County,3.76411875
