county,carb_intensity
Alameda County,0.398870648
Alpine County,0.059625098
Amador County,0.059625098
Butte County,0.747768109
Calaveras County,0.059667395
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.616324078
El Dorado County,0.732873304
Esmeralda County,0.1579203
Fresno County,0.398475022
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.168853353
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.516190906
Kings County,0.023370377
Klamath County,0
La Paz County,0.360362361
Lake County,0.245932903
Lassen County,0.357918891
Los Angeles County,0.830639644
Madera County,0.257745574
Maricopa County,0
Marin County,0.303141644
Mariposa County,0.553067351
Mendocino County,0.192509408
Merced County,0.342036282
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.68344888
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.441736478
Napa County,0.842882909
Nevada County,0.420908452
Orange County,0.950624941
Placer County,0.652092919
Plumas County,0.410582123
Riverside County,0.953150593
Sacramento County,1.11909197
San Benito County,1.066363779
San Bernardino County,0.993562539
San Diego County,0.746375501
San Francisco County,0.214847593
San Joaquin County,0.467703041
San Luis Obispo County,0.003430728
San Mateo County,0.179223475
Santa Barbara County,0.529836059
Santa Clara County,0.749957101
Santa Cruz County,0.162989253
Shasta County,1.159192487
Sierra County,0.500006525
Siskiyou County,1.2310353
Solano County,0.677357484
Sonoma County,0.226136603
Stanislaus County,1.018490663
Sutter County,0.673432874
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.479320737
Tuolumne County,0.727060758
Ventura County,1.00139498
Yolo County,0.662951075
Yuba County,0.608849182
Yuma County,0.1579203
