county,l_ren
 County,0.0
Alameda County,1270.870271904531
Alpine County,20.6234917
Amador County,36.08346898
Butte County,154.47798902
Calaveras County,10.81584086
Clark County,0.0
Colusa County,31.85756633
Contra Costa County,945.7732736928316
El Dorado County,64.77779337209374
Esmeralda County,4.241826986123605
Fresno County,584.6375513924389
Glenn County,41.57271437735804
Humboldt County,70.53340271084413
Imperial County,80.35090136719467
Inyo County,93.74508058026083
Josephine County,0.0
Kern County,714.2153651411463
Kings County,135.39773608000002
Klamath County,0.0
La Paz County,0.0
Lake County,50.59455777112769
Lassen County,49.7496805177868
Los Angeles County,6395.273814130291
Madera County,86.894057
Maricopa County,0.0
Marin County,205.06844569
Mariposa County,9.86928364
Mendocino County,61.918939950277746
Merced County,153.40169235010322
Modoc County,18.044689878
Mono County,5.046815531171258
Monterey County,242.37862192459949
Municipio de Mexicali County,5.361080277785626
Municipio de Tijuana County,20.8421943
Napa County,108.9919560884316
Nevada County,26.137398526000002
Orange County,1858.0168873235677
Placer County,256.671408313
Plumas County,27.667748982
Riverside County,985.095617225997
Sacramento County,749.123402187697
San Benito County,4.33349781
San Bernardino County,1207.3171078863245
San Diego County,2073.5789655896106
San Francisco County,469.31346235
San Joaquin County,731.6503482289926
San Luis Obispo County,76.48740749499052
San Mateo County,596.905147835
Santa Barbara County,289.1539530001738
Santa Clara County,1599.65277484515
Santa Cruz County,184.4042895
Shasta County,81.11477733895816
Sierra County,10.91952269
Siskiyou County,60.12973432
Solano County,342.0174237393567
Sonoma County,296.67667069257783
Stanislaus County,445.7969842872218
Sutter County,83.27110136
Tehama County,45.434842258159335
Trinity County,17.747698181090247
Tulare County,297.50469495772506
Tuolumne County,46.206323571
Ventura County,617.5942066966127
Yolo County,165.514948145
Yuba County,63.054710209999996
Yuma County,2.3657145354679674
