county,carb_intensity
Alameda County,0.716042247
Alpine County,0.171996233
Amador County,0.171996233
Butte County,0.70745013
Calaveras County,0.171168518
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.992715117
El Dorado County,0.71510554
Esmeralda County,0.1579203
Fresno County,0.631929847
Glenn County,1.2310353
Humboldt County,1.15851203
Imperial County,0.224555539
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,1.030241657
Kings County,0.747878478
Klamath County,0
La Paz County,1.2310353
Lake County,0.263794887
Lassen County,0.477766704
Los Angeles County,0.98637856
Madera County,0.326305598
Maricopa County,0
Marin County,0.887696301
Mariposa County,0.727124865
Mendocino County,0.200275276
Merced County,0.407151584
Modoc County,0.985825034
Mono County,0.1579203
Monterey County,0.879723772
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,1.2310353
Napa County,0.892563073
Nevada County,0.504856791
Orange County,0.99151145
Placer County,0.865288266
Plumas County,0.521407003
Riverside County,1.039124794
Sacramento County,1.109657874
San Benito County,1.141832828
San Bernardino County,1.017929149
San Diego County,0.921325887
San Francisco County,0.538647414
San Joaquin County,0.524146333
San Luis Obispo County,0.07210572
San Mateo County,0.655837708
Santa Barbara County,0.608806727
Santa Clara County,0.995158925
Santa Cruz County,0.46182794
Shasta County,1.168896845
Sierra County,0.505142232
Siskiyou County,1.2310353
Solano County,0.696990502
Sonoma County,0.566589719
Stanislaus County,0.932224278
Sutter County,0.797036217
Tehama County,1.2310353
Trinity County,1.165705743
Tulare County,0.954333184
Tuolumne County,0.656829439
Ventura County,1.112682119
Yolo County,0.803906265
Yuba County,0.576282647
Yuma County,0.598848536
