state,county,carb_emit
CA,Alameda County,9.894602262
CA,Alpine County,0
CA,Amador County,0
CA,Butte County,0
CA,Calaveras County,0
CA,Clark County,0
CA,Colusa County,0
CA,Contra Costa County,30.31335818
CA,El Dorado County,0.680118278
CA,Esmeralda County,0.034459969
CA,Fresno County,17.01186751
CA,Glenn County,1.686584487
CA,Humboldt County,0.762329952
CA,Imperial County,3.668328691
CA,Inyo County,0.546310117
CA,Josephine County,0
CA,Kern County,67.14953948
CA,Kings County,2.998488093
CA,Klamath County,0
CA,La Paz County,0.345517178
CA,Lake County,0.530070807
CA,Lassen County,0.027101126
CA,Los Angeles County,74.53265163
CA,Madera County,0
CA,Maricopa County,0
CA,Marin County,0
CA,Mariposa County,0
CA,Mendocino County,0.902121591
CA,Merced County,4.738870553
CA,Modoc County,0
CA,Mono County,0.022792744
CA,Monterey County,15.07585703
CA,Municipio de Mexicali County,0
CA,Municipio de Tijuana County,2.022681204
CA,Napa County,0
CA,Nevada County,0
CA,Orange County,1.615504304
CA,Placer County,0
CA,Plumas County,0
CA,Riverside County,26.39644871
CA,Sacramento County,22.82219579
CA,San Benito County,7.49032618
CA,San Bernardino County,50.08427446
CA,San Diego County,17.04564804
CA,San Francisco County,0
CA,San Joaquin County,15.02516914
CA,San Luis Obispo County,0.122986275
CA,San Mateo County,0
CA,Santa Barbara County,2.212582276
CA,Santa Clara County,21.228611
CA,Santa Cruz County,0
CA,Shasta County,1.540927445
CA,Sierra County,0
CA,Siskiyou County,0
CA,Solano County,13.5705418
CA,Sonoma County,1.231910049
CA,Stanislaus County,16.09115027
CA,Sutter County,0.750629667
CA,Tehama County,0.423149714
CA,Trinity County,0.522607319
CA,Tulare County,6.834471534
CA,Tuolumne County,0
CA,Ventura County,3.889032857
CA,Yolo County,0
CA,Yuba County,0
CA,Yuma County,0
