county,0
 County,
Alameda County,2.1983700939552995e-05
Alpine County,3.7766469889777984e-05
Amador County,3.7275666268562163e-05
Butte County,3.925496681525012e-05
Calaveras County,3.589003828016208e-05
Clark County,
Colusa County,1.790586029692774e-05
Contra Costa County,2.1827865305729277e-05
El Dorado County,3.277395323612382e-05
Esmeralda County,0.12414947995656708
Fresno County,0.0
Glenn County,1.5535145157223504e-05
Humboldt County,0.008300793424076901
Imperial County,0.07244385057279819
Inyo County,0.12824781250315162
Josephine County,
Kern County,0.0008143050874285425
Kings County,0.0
Klamath County,
La Paz County,0.0
Lake County,0.1341226337856574
Lassen County,0.009491923645761789
Los Angeles County,0.010197139520019046
Madera County,0.0
Maricopa County,
Marin County,2.185893189711808e-05
Mariposa County,0.0
Mendocino County,0.12498183279834722
Merced County,1.2112687891660484e-06
Modoc County,2.8154119520020923e-05
Mono County,0.1579203
Monterey County,1.5344527927759523e-05
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.047292847985825406
Napa County,0.004651796562095142
Nevada County,4.0295692502039856e-05
Orange County,0.029910349529442132
Placer County,3.433882322833949e-05
Plumas County,4.049818849489361e-05
Riverside County,0.01879332951429438
Sacramento County,2.6222636769911472e-05
San Benito County,1.6705492557050977e-05
San Bernardino County,0.01935356057919926
San Diego County,0.036742897067733454
San Francisco County,2.8652788575518564e-05
San Joaquin County,2.0063735969842057e-05
San Luis Obispo County,9.1379859116087e-07
San Mateo County,2.705411155155372e-05
Santa Barbara County,0.0026690597342918982
Santa Clara County,0.00088141825668282
Santa Cruz County,2.1442129354938045e-05
Shasta County,2.9009811071549132e-05
Sierra County,4.263870008658065e-05
Siskiyou County,2.23310699916283e-05
Solano County,1.7131297191490712e-05
Sonoma County,0.06751077002507207
Stanislaus County,3.3026363165971633e-06
Sutter County,3.9358384892729476e-05
Tehama County,1.9667318796431023e-05
Trinity County,0.007481540027368548
Tulare County,0.0
Tuolumne County,2.1243625857067888e-05
Ventura County,4.590047769902629e-05
Yolo County,2.563051804497119e-05
Yuba County,4.350965662959827e-05
Yuma County,0.018486971320146504
