Renewables 06/17/2019undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,134,241,356,494,709,911,1149,1436,1695,2009,2256,2530,2781,3095,3445,3802,4186,4575,4965,5303,5599,5885,6096,6372,6629,6942,7252,7482,7613,7832,8053,8319,8561,8751,8906,8999,9091,9169,9227,9297,9354,9406,9454,9542,9594,9653,9736,9813,9861,9931,10014,10104,10180,10251,10323,10410,10459,10478,10511,10579,10654,10704,10750,10793,10806,10799,10843,10851,10884,10911,10933,10950,10962,10992,11004,11007,11030,11041,11051,11058,11056,11051,11043,11044,11049,11048,11043,11048,11033,11035,11021,11002,11021,11017,11000,10982,10941,10914,10875,10874,10887,10929,10932,10890,10853,10827,10789,10702,10737,10724,10662,10564,10496,10459,10394,10330,10317,10319,10171,9992,9793,9699,9796,9831,9708,9604,9516,9486,9457,9374,9197,9020,8882,8692,8380,8177,7944,7776,7551,7355,7060,6694,6474,6203,5856,5423,5068,4781,4473,4188,3874,3514,3108,2784,2461,2162,1929,1662,1443,1253,1043,848,742,599,445,315,204,115,63,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Wind,4479,4445,4412,4375,4355,4349,4289,4255,4230,4213,4225,4210,4197,4166,4130,4051,3980,3949,3939,3926,3894,3859,3809,3715,3616,3507,3362,3254,3190,3079,3003,2955,2919,2916,2890,2838,2789,2751,2731,2721,2735,2755,2765,2769,2758,2740,2712,2694,2694,2689,2704,2754,2744,2724,2744,2724,2686,2681,2679,2628,2629,2660,2710,2784,2873,2874,2823,2727,2736,2717,2659,2583,2484,2369,2297,2235,2179,2100,2014,2014,2071,2091,2023,1964,1916,1848,1784,1730,1677,1601,1539,1487,1456,1424,1409,1380,1328,1282,1235,1183,1120,1073,1055,1022,985,972,949,886,862,833,829,811,792,784,768,764,759,763,770,782,807,837,843,856,864,870,881,879,877,869,870,880,910,920,918,913,891,880,850,827,815,797,783,755,758,749,753,747,755,771,764,773,759,778,806,826,861,885,906,904,940,984,1018,1028,1065,1107,1132,1130,1117,1104,1109,1166,1222,1272,1312,1329,1325,1367,1437,1454,1452,1460,1496,1526,1556,1560,1588,1646,1721,1802,1866,1930,1988,2076,2136,2200,2261,2347,2443,2574,2620,2666,2681,2713,2741,2758,2824,2902,3004,3074,3196,3297,3356,3384,3364,3371,3329,3363,3337,3262,3297,3279,3309,3316,3269,3233,3193,3204,3281,3376,3439,3488,3498,3509,3506,3480,3474,3462,3459,3500,3536,3566,3599,3611,3617,3672,3722,3687,3691,3682,3669,3726,3825,3846,3859,3811,3817,3788,3734,3639,3585,3501,3444,3419,3396,3358,3294,3275,3277,3326,3326,3307,3313,3264,3213,3153,3145,3137,3151,3206,3220,3241,3235,3221,3209,3191,3187,3141
S+W,4479,4445,4412,4375,4355,4349,4289,4255,4230,4213,4225,4210,4197,4166,4130,4051,3980,3949,3939,3926,3894,3859,3809,3715,3616,3507,3362,3254,3190,3079,3003,2955,2919,2916,2890,2838,2789,2751,2731,2721,2735,2755,2765,2769,2758,2740,2712,2694,2694,2689,2704,2754,2744,2724,2744,2724,2686,2681,2679,2628,2629,2660,2710,2784,2873,2874,2823,2727,2736,2717,2667,2632,2618,2610,2653,2729,2888,3011,3163,3450,3766,4100,4279,4494,4697,4943,5229,5532,5863,6176,6504,6790,7055,7309,7505,7752,7957,8224,8487,8665,8733,8905,9108,9341,9546,9723,9855,9885,9953,10002,10056,10108,10146,10190,10222,10306,10353,10416,10506,10595,10668,10768,10857,10960,11044,11121,11204,11289,11336,11347,11381,11459,11564,11624,11668,11706,11697,11679,11693,11678,11699,11708,11716,11705,11720,11741,11757,11754,11785,11812,11815,11831,11815,11829,11849,11870,11910,11933,11949,11952,11973,12019,12039,12030,12086,12124,12132,12112,12058,12018,11984,12040,12109,12201,12244,12219,12178,12194,12226,12156,12189,12184,12158,12090,12052,12019,11982,11976,12038,12121,12037,11922,11781,11775,11932,12031,11969,11951,11959,12060,12077,12040,11878,11733,11623,11450,11204,11079,10948,10850,10747,10652,10416,10078,9838,9574,9185,8786,8405,8043,7770,7467,7183,6830,6377,6017,5654,5366,5210,5038,4882,4741,4541,4357,4248,4079,3919,3777,3663,3615,3599,3592,3604,3616,3622,3677,3727,3692,3696,3687,3674,3731,3830,3851,3864,3816,3822,3793,3739,3644,3590,3506,3449,3424,3401,3363,3299,3280,3282,3331,3331,3312,3318,3269,3218,3158,3150,3142,3156,3211,3225,3246,3240,3226,3214,3196,3187,3141
